Naziv,Cijena,Link,Izvor
Acer Aspire 3 A315-44P-R65Z,505.0,https://pc-gamer.me/p/Acer-Aspire-3-A315-44P-R65Z--112123,PC-Gamer
Lenovo IdeaPad Slim 3 Ryzen7 7730U / 16GB / 512GB / 15.6,514.0,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-Ryzen7-7730U-16GB-512GB-15-6--110248,PC-Gamer
Lenovo 83K100B6YA,516.6,https://pc-gamer.me/p/Lenovo-83K100B6YA--113160,PC-Gamer
Lenovo 83K100B5YA,516.6,https://pc-gamer.me/p/Lenovo-83K100B5YA--113142,PC-Gamer
HP NOT 255 G10 R3-7330U 8G512 7N0C5ES,516.8,https://pc-gamer.me/p/HP-NOT-255-G10-R3-7330U-8G512-7N0C5ES--105179,PC-Gamer
Lenovo IdeaPad Slim 3 15IAH8 i5-12450H/512GB/16GB/UHD Graphics/15.6 FHD/YU/ArcticGrey/NoOS,517.9,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IAH8-i5-12450H-512GB-16GB-UHD-Graphics-15-6-FHD-YU-ArcticGrey-NoOS--113348,PC-Gamer
DELL Vostro 3530 15.6 FHD 120Hz i5-1334U 16GB 512G,519.0,https://pc-gamer.me/p/DELL-Vostro-3530-15-6-FHD-120Hz-i5-1334U-16GB-512G--105099,PC-Gamer
HP 250 G10 i5-1334U 16GB 512GB,529.0,https://pc-gamer.me/p/HP-250-G10-i5-1334U-16GB-512GB--109720,PC-Gamer
HP 255 G10 R5-7530U 16G 512 AK9N8AT,529.0,https://pc-gamer.me/p/HP-255-G10-R5-7530U-16G-512-AK9N8AT--109719,PC-Gamer
HP 250 G10  i5,529.0,https://pc-gamer.me/p/HP-250-G10-i5--109767,PC-Gamer
ASUS Vivobook Go 15 E1504FA-NJ319,529.5,https://pc-gamer.me/p/ASUS-Vivobook-Go-15-E1504FA-NJ319--100398,PC-Gamer
Asus Vivobook 15 X1504ZA-NJ887,529.5,https://pc-gamer.me/p/Asus-Vivobook-15-X1504ZA-NJ887--107258,PC-Gamer
Lenovo V15 G4 IRU 83A100ABYA,529.5,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-83A100ABYA--107253,PC-Gamer
Acer A315-24P-R83E,530.1,https://pc-gamer.me/p/Acer-A315-24P-R83E--85346,PC-Gamer
Lenovo 83ER00J9YA,536.0,https://pc-gamer.me/p/Lenovo-83ER00J9YA--108410,PC-Gamer
Lenovo V15 G4 IRU 15.6,538.6,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-15-6--100554,PC-Gamer
HP 15-fd0062nm i5-1334U/16GB/512GB SSD/15.6inch FHD IPS/IntelIrisX/NoOS/NaturalSilver,550.3,https://pc-gamer.me/p/HP-15-fd0062nm-i5-1334U-16GB-512GB-SSD-15-6inch-FHD-IPS-IntelIrisX-NoOS-NaturalSilver--109474,PC-Gamer
ACER Aspire A515 15.6 Ryzen 5 5625U,568.4,https://pc-gamer.me/p/ACER-Aspire-A515-15-6-Ryzen-5-5625U--89816,PC-Gamer
ACER Aspire Go 15 15.3 inča WUXGA IPS i5-1334U 16GB 512GB crni,569.7,https://pc-gamer.me/p/ACER-Aspire-Go-15-15-3-in-a-WUXGA-IPS-i5-1334U-16GB-512GB-crni--110397,PC-Gamer
Asus Vivobook X M1603QA-MB511,579.0,https://pc-gamer.me/p/Asus-Vivobook-X-M1603QA-MB511--84309,PC-Gamer
Lenovo 83K20032YA,580.0,https://pc-gamer.me/p/Lenovo-83K20032YA--113151,PC-Gamer
Lenovo 83K20033YA,580.0,https://pc-gamer.me/p/Lenovo-83K20033YA--113158,PC-Gamer
Lenovo V17 G4 IRU,581.3,https://pc-gamer.me/p/Lenovo-V17-G4-IRU--100557,PC-Gamer
ASUS X1605ZA-MB321,581.4,https://pc-gamer.me/p/ASUS-X1605ZA-MB321--84779,PC-Gamer
Asus Vivobook 15 X1504VA-BQ1648,590.0,https://pc-gamer.me/p/Asus-Vivobook-15-X1504VA-BQ1648--112349,PC-Gamer
